username,repo_name,stars,repo_url
Genymobile,scrcpy,47800,https:/github.com/Genymobile/scrcpy
neovim,neovim,43300,https:/github.com/neovim/neovim
git,git,37700,https:/github.com/git/git
fffaraz,awesome-cpp,31100,https:/github.com/fffaraz/awesome-cpp
obsproject,obs-studio,27500,https:/github.com/obsproject/obs-studio
serhii-londar,open-source-mac-os-apps,25800,https:/github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,24400,https:/github.com/FFmpeg/FFmpeg
vim,vim,23500,https:/github.com/vim/vim
ggreer,the_silver_searcher,21900,https:/github.com/ggreer/the_silver_searcher
curl,curl,20400,https:/github.com/curl/curl
huihut,interview,18300,https:/github.com/huihut/interview
ruby,ruby,18100,https:/github.com/ruby/ruby
google,flatbuffers,16100,https:/github.com/google/flatbuffers
oracle,graal,15100,https:/github.com/oracle/graal
mpv-player,mpv,14900,https:/github.com/mpv-player/mpv
shadowsocks,shadowsocks-libev,14300,https:/github.com/shadowsocks/shadowsocks-libev
radareorg,radare2,14300,https:/github.com/radareorg/radare2
pbatard,rufus,13600,https:/github.com/pbatard/rufus
vurtun,nuklear,13300,https:/github.com/vurtun/nuklear
allinurl,goaccess,13100,https:/github.com/allinurl/goaccess
microsoft,vcpkg,12600,https:/github.com/microsoft/vcpkg
facebook,infer,12200,https:/github.com/facebook/infer
CoatiSoftware,Sourcetrail,11300,https:/github.com/CoatiSoftware/Sourcetrail
jarun,nnn,11200,https:/github.com/jarun/nnn
kovidgoyal,kitty,11100,https:/github.com/kovidgoyal/kitty
s-matyukevich,raspberry-pi-os,10200,https:/github.com/s-matyukevich/raspberry-pi-os
jonas,tig,10000,https:/github.com/jonas/tig
hashcat,hashcat,9700,https:/github.com/hashcat/hashcat
qmk,qmk_firmware,9400,https:/github.com/qmk/qmk_firmware
OpenRCT2,OpenRCT2,9300,https:/github.com/OpenRCT2/OpenRCT2
