username,repo_name,stars,repo_url
atom,atom,54900,https:/github.com/atom/atom
dracula,dracula-theme,15400,https:/github.com/dracula/dracula-theme
mjswensen,themer,4100,https:/github.com/mjswensen/themer
nteract,hydrogen,3700,https:/github.com/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,3200,https:/github.com/shd101wyy/markdown-preview-enhanced
miniflux,v2,2800,https:/github.com/miniflux/v2
atom,teletype,2300,https:/github.com/atom/teletype
mehcode,awesome-atom,1800,https:/github.com/mehcode/awesome-atom
mmcdole,gofeed,1600,https:/github.com/mmcdole/gofeed
joefitzgerald,go-plus,1500,https:/github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1500,https:/github.com/Glavin001/atom-beautify
t9md,atom-vim-mode-plus,1400,https:/github.com/t9md/atom-vim-mode-plus
simplepie,simplepie,1400,https:/github.com/simplepie/simplepie
ocaml,merlin,1300,https:/github.com/ocaml/merlin
MagicStack,MagicPython,1200,https:/github.com/MagicStack/MagicPython
kurtmckee,feedparser,1200,https:/github.com/kurtmckee/feedparser
atom,apm,1200,https:/github.com/atom/apm
file-icons,atom,1100,https:/github.com/file-icons/atom
kettanaito,atomic-layout,935,https:/github.com/kettanaito/atomic-layout
danhper,atomic-chrome,929,https:/github.com/danhper/atomic-chrome
nmdias,FeedKit,904,https:/github.com/nmdias/FeedKit
nathanbuchar,atom-one-dark-terminal,895,https:/github.com/nathanbuchar/atom-one-dark-terminal
atom,github,892,https:/github.com/atom/github
jesseweed,seti-ui,863,https:/github.com/jesseweed/seti-ui
prettier,prettier-atom,754,https:/github.com/prettier/prettier-atom
raphamorim,lucario,715,https:/github.com/raphamorim/lucario
atom-community,atom-script,711,https:/github.com/atom-community/atom-script
fwcd,kotlin-language-server,676,https:/github.com/fwcd/kotlin-language-server
jasonmunro,cypht,644,https:/github.com/jasonmunro/cypht
jekyll,jekyll-feed,641,https:/github.com/jekyll/jekyll-feed
