username,repo_name,stars,repo_url
jwasham,coding-interview-university,165000,https:/github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,127000,https:/github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,104000,https:/github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,103000,https:/github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,52100,https:/github.com/yangshun/tech-interview-handbook
kdn251,interviews,51100,https:/github.com/kdn251/interviews
azl397985856,leetcode,41600,https:/github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,33600,https:/github.com/algorithm-visualizer/algorithm-visualizer
crossoverJie,JCSprout,26000,https:/github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,22400,https:/github.com/donnemartin/interactive-coding-challenges
keon,algorithms,19100,https:/github.com/keon/algorithms
huihut,interview,18300,https:/github.com/huihut/interview
trekhleb,homemade-machine-learning,17400,https:/github.com/trekhleb/homemade-machine-learning
halfrost,LeetCode-Go,17200,https:/github.com/halfrost/LeetCode-Go
mxgmn,WaveFunctionCollapse,16100,https:/github.com/mxgmn/WaveFunctionCollapse
OpenGenus,cosmos,12600,https:/github.com/OpenGenus/cosmos
AtsushiSakai,PythonRobotics,12100,https:/github.com/AtsushiSakai/PythonRobotics
TheAlgorithms,C-Plus-Plus,11700,https:/github.com/TheAlgorithms/C-Plus-Plus
greyireland,algorithm-pattern,11500,https:/github.com/greyireland/algorithm-pattern
apachecn,apachecn-algo-zh,10300,https:/github.com/apachecn/apachecn-algo-zh
TheAlgorithms,Javascript,9800,https:/github.com/TheAlgorithms/Javascript
williamfiset,Algorithms,9600,https:/github.com/williamfiset/Algorithms
halfrost,Halfrost-Field,8800,https:/github.com/halfrost/Halfrost-Field
lnishan,awesome-competitive-programming,8100,https:/github.com/lnishan/awesome-competitive-programming
Blankj,awesome-java-leetcode,8100,https:/github.com/Blankj/awesome-java-leetcode
jeffgerickson,algorithms,7100,https:/github.com/jeffgerickson/algorithms
mgechev,javascript-algorithms,6700,https:/github.com/mgechev/javascript-algorithms
youngyangyang04,leetcode-master,6700,https:/github.com/youngyangyang04/leetcode-master
LeetCode-OpenSource,vscode-leetcode,6500,https:/github.com/LeetCode-OpenSource/vscode-leetcode
OlafenwaMoses,ImageAI,6100,https:/github.com/OlafenwaMoses/ImageAI
