username,repo_name,stars,repo_url
babel,babel,38900,https:/github.com/babel/babel
nylas,nylas-mail,24600,https:/github.com/nylas/nylas-mail
kriasoft,react-starter-kit,20700,https:/github.com/kriasoft/react-starter-kit
avajs,ava,18900,https:/github.com/avajs/ava
electron-react-boilerplate,electron-react-boilerplate,17400,https:/github.com/electron-react-boilerplate/electron-react-boilerplate
SimulatedGREG,electron-vue,13900,https:/github.com/SimulatedGREG/electron-vue
grab,front-end-guide,13600,https:/github.com/grab/front-end-guide
swc-project,swc,11600,https:/github.com/swc-project/swc
jamiebuilds,babel-handbook,9900,https:/github.com/jamiebuilds/babel-handbook
grommet,grommet,7200,https:/github.com/grommet/grommet
developit,htm,6700,https:/github.com/developit/htm
angular-fullstack,generator-angular-fullstack,6100,https:/github.com/angular-fullstack/generator-angular-fullstack
insin,nwb,5300,https:/github.com/insin/nwb
documentationjs,documentation,5300,https:/github.com/documentationjs/documentation
thinkjs,thinkjs,5200,https:/github.com/thinkjs/thinkjs
egoist,poi,5200,https:/github.com/egoist/poi
babel,babel-loader,4500,https:/github.com/babel/babel-loader
jaredpalmer,backpack,4400,https:/github.com/jaredpalmer/backpack
babel,minify,4200,https:/github.com/babel/minify
transitive-bullshit,create-react-library,4200,https:/github.com/transitive-bullshit/create-react-library
duxianwei520,react,4200,https:/github.com/duxianwei520/react
ben-rogerson,twin.macro,3900,https:/github.com/ben-rogerson/twin.macro
fkling,astexplorer,3800,https:/github.com/fkling/astexplorer
kriasoft,graphql-starter,3200,https:/github.com/kriasoft/graphql-starter
andywer,webpack-blocks,3000,https:/github.com/andywer/webpack-blocks
tleunen,babel-plugin-module-resolver,3000,https:/github.com/tleunen/babel-plugin-module-resolver
babel,babel-eslint,3000,https:/github.com/babel/babel-eslint
kunalkapadia,express-mongoose-es6-rest-api,2700,https:/github.com/kunalkapadia/express-mongoose-es6-rest-api
uidotdev,react-course,2500,https:/github.com/uidotdev/react-course
Atyantik,react-pwa,2400,https:/github.com/Atyantik/react-pwa
