username,repo_name,stars,repo_url
CyC2018,CS-Notes,127000,https:/github.com/CyC2018/CS-Notes
tuvtran,project-based-learning,47600,https:/github.com/tuvtran/project-based-learning
azl397985856,leetcode,41600,https:/github.com/azl397985856/leetcode
x64dbg,x64dbg,36700,https:/github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,31100,https:/github.com/fffaraz/awesome-cpp
microsoft,calculator,21900,https:/github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,20700,https:/github.com/CMU-Perceptual-Computing-Lab/openpose
huihut,interview,18300,https:/github.com/huihut/interview
yuzu-emu,yuzu,14500,https:/github.com/yuzu-emu/yuzu
changkun,modern-cpp-tutorial,13000,https:/github.com/changkun/modern-cpp-tutorial
microsoft,vcpkg,12600,https:/github.com/microsoft/vcpkg
facebook,infer,12200,https:/github.com/facebook/infer
TheAlgorithms,C-Plus-Plus,11700,https:/github.com/TheAlgorithms/C-Plus-Plus
AnthonyCalandra,modern-cpp-features,11600,https:/github.com/AnthonyCalandra/modern-cpp-features
gabime,spdlog,11500,https:/github.com/gabime/spdlog
google,tink,11300,https:/github.com/google/tink
CoatiSoftware,Sourcetrail,11300,https:/github.com/CoatiSoftware/Sourcetrail
ssloy,tinyrenderer,10600,https:/github.com/ssloy/tinyrenderer
SFTtech,openage,10300,https:/github.com/SFTtech/openage
Qv2ray,Qv2ray,10100,https:/github.com/Qv2ray/Qv2ray
ethereum,solidity,9800,https:/github.com/ethereum/solidity
antlr,antlr4,9800,https:/github.com/antlr/antlr4
OpenRCT2,OpenRCT2,9300,https:/github.com/OpenRCT2/OpenRCT2
kyleneideck,BackgroundMusic,9300,https:/github.com/kyleneideck/BackgroundMusic
compiler-explorer,compiler-explorer,8500,https:/github.com/compiler-explorer/compiler-explorer
hmemcpy,milewski-ctfp-pdf,8400,https:/github.com/hmemcpy/milewski-ctfp-pdf
codota,TabNine,8100,https:/github.com/codota/TabNine
rigtorp,awesome-modern-cpp,7800,https:/github.com/rigtorp/awesome-modern-cpp
nasa,fprime,7800,https:/github.com/nasa/fprime
VowpalWabbit,vowpal_wabbit,7500,https:/github.com/VowpalWabbit/vowpal_wabbit
